Id,Fuente,Petición (Tiempo),Método,URL,Código,Razón,RTT,Respuesta (Tamaño del cuerpo),Alerta mayor,Nota,Etiquetas
1,Proxy,Thu Dec 29 17:33:19 PET 2022,GET,http://localhost:45100/login,200,OK,83,898,Medio,false,"Form,Password"
5,Proxy,Thu Dec 29 17:33:19 PET 2022,GET,http://localhost:45100/stylesheets/style_log.css,200,OK,394,2191,Bajo,false,"Password,Comment"
8,Proxy,Thu Dec 29 17:33:20 PET 2022,POST,https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard,200,OK,4257,17,,false,JSON
10,Proxy,Thu Dec 29 17:33:20 PET 2022,GET,https://content-autofill.googleapis.com/v1/pages/ChVDaHJvbWUvMTA4LjAuNTM1OS4xMjUSFwlkhepSAJl0gRIFDak14HESBQ3bxZ-m?alt=proto,200,OK,12059,40,Bajo,false,
14,Proxy,Thu Dec 29 17:33:21 PET 2022,GET,https://fonts.googleapis.com/css2?family=ABeeZee:ital@0;1&display=swap,200,OK,45963,1461,Medio,false,Comment
16,Proxy,Thu Dec 29 17:34:08 PET 2022,GET,https://fonts.gstatic.com/s/abeezee/v22/esDR31xSG-6AGleN2tWkkA.woff2,200,OK,10024,17072,Medio,false,Comment
21,Proxy,Thu Dec 29 17:34:08 PET 2022,GET,https://fonts.gstatic.com/s/abeezee/v22/esDT31xSG-6AGleN2tCUkp8D.woff2,200,OK,13645,18024,Medio,false,
22,Proxy,Thu Dec 29 17:34:19 PET 2022,POST,https://update.googleapis.com/service/update2/json?cup2key=12:bNvTtzPEVyQ5bm4leEM99pobgKwtyg0nDSmXbhBz0IQ&cup2hreq=2e014707b9be591451ec0a62791ff9f52133d65071da63814909d94b116d9332,502,Bad Gateway,11093,457,,false,
26,Proxy,Thu Dec 29 17:34:30 PET 2022,POST,http://update.googleapis.com/service/update2/json?cup2key=12:77Qs4--y1PrzECO-AGrLZnyTthbPtFg5r0L86t_o_i0&cup2hreq=d377bc1485e30c6fb5328b0c6bdd24969ff614364c34c6f2b949f98126b7428b,502,Bad Gateway,0,437,,false,
30,Proxy,Thu Dec 29 17:34:21 PET 2022,POST,https://optimizationguide-pa.googleapis.com/v1:GetModels?key=AIzaSyBOti4mM-6x9WDnZIjIeyEU21OpBXqWBgw,200,OK,11563,1131,Bajo,false,
32,Proxy,Thu Dec 29 17:34:22 PET 2022,POST,https://clientservices.googleapis.com/uma/v2,200,OK,27186,2,Bajo,false,
35,Proxy,Thu Dec 29 17:34:49 PET 2022,GET,"https://clients1.google.com/tools/pso/ping?as=chrome&brand=SQJL&pid=&hl=en&rep=2&rlz=C1:1C1SQJL_enPE892PE892,C2:1C2SQJL_enPE892,C7:1C7SQJL_enPE892",200,OK,4527,194,Medio,false,
39,Proxy,Thu Dec 29 17:34:33 PET 2022,GET,https://optimizationguide-pa.googleapis.com/downloads?name=1671026527&target=OPTIMIZATION_TARGET_NOTIFICATION_PERMISSION_PREDICTIONS,200,OK,24427,5089,Medio,false,
40,Proxy,Thu Dec 29 17:34:33 PET 2022,GET,https://optimizationguide-pa.googleapis.com/downloads?name=1670017945099&target=OPTIMIZATION_TARGET_LANGUAGE_DETECTION,200,OK,25698,265060,Medio,false,Comment
41,Proxy,Thu Dec 29 17:34:59 PET 2022,GET,https://optimizationguide-pa.googleapis.com/downloads?name=1671026548&target=OPTIMIZATION_TARGET_GEOLOCATION_PERMISSION_PREDICTIONS,200,OK,240,5083,Medio,false,
42,Proxy,Thu Dec 29 17:34:58 PET 2022,GET,https://optimizationguide-pa.googleapis.com/downloads?name=2202180000&target=OPTIMIZATION_TARGET_SEGMENTATION_CHROME_LOW_USER_ENGAGEMENT,200,OK,4334,9419,Medio,false,
43,Proxy,Thu Dec 29 17:36:34 PET 2022,GET,http://localhost:45100/register,200,OK,904,1869,Medio,false,"Form,Password"
44,Proxy,Thu Dec 29 17:36:35 PET 2022,GET,http://localhost:45100/stylesheets/style_log.css,304,Not Modified,7,0,,false,
45,Proxy,Thu Dec 29 17:36:36 PET 2022,POST,https://beacons.gcp.gvt2.com/domainreliability/upload,200,OK,726,0,Bajo,false,
47,Proxy,Thu Dec 29 17:36:36 PET 2022,GET,https://content-autofill.googleapis.com/v1/pages/ChVDaHJvbWUvMTA4LjAuNTM1OS4xMjUSSAm1wZXd3w7lTRIFDV3UmZMSBQ3jXd_UEgUNUrJnlhIFDezqakQSBQ1iTK69EgUN2dV3yRIFDdxrvNcSBQ2pNeBxEgUN28Wfpg==?alt=proto,200,OK,783,112,,false,
49,Proxy,Thu Dec 29 17:41:37 PET 2022,POST,https://beacons.gcp.gvt2.com/domainreliability/upload,200,OK,455,0,Bajo,false,
50,Proxy,Thu Dec 29 17:48:58 PET 2022,POST,http://localhost:45100/registercheck,302,Found,960,70,,false,
51,Proxy,Thu Dec 29 17:48:59 PET 2022,GET,http://localhost:45100/login?msg=ok,200,OK,54,898,Medio,false,"Form,Password"
52,Proxy,Thu Dec 29 17:48:59 PET 2022,GET,http://localhost:45100/stylesheets/style_log.css,304,Not Modified,12,0,,false,
53,Proxy,Thu Dec 29 17:48:59 PET 2022,GET,https://content-autofill.googleapis.com/v1/pages/ChVDaHJvbWUvMTA4LjAuNTM1OS4xMjUSFwlkhepSAJl0gRIFDak14HESBQ3bxZ-m?alt=proto,200,OK,537,40,Bajo,false,
54,Proxy,Thu Dec 29 17:49:05 PET 2022,POST,http://localhost:45100/loginchecked,302,Found,240,56,Bajo,false,SetCookie
55,Proxy,Thu Dec 29 17:49:05 PET 2022,GET,http://localhost:45100/panel,200,OK,188,3122,Medio,false,"Script,Comment"
56,Proxy,Thu Dec 29 17:49:05 PET 2022,GET,http://localhost:45100/stylesheets/style-side-bar.css,200,OK,14,1297,Bajo,false,
57,Proxy,Thu Dec 29 17:49:05 PET 2022,GET,http://localhost:45100/stylesheets/style-principal.css,200,OK,15,2041,,false,
61,Proxy,Thu Dec 29 17:49:06 PET 2022,GET,https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,200,OK,222,31000,Medio,false,Comment
66,Proxy,Thu Dec 29 17:49:06 PET 2022,GET,"https://fonts.googleapis.com/css2?family=Mulish:ital,wght@0,200;0,300;0,400;0,500;0,600;0,700;0,800;0,900;1,200;1,300;1,400;1,500;1,600;1,700;1,800;1,900&display=swap",200,OK,472,26616,Medio,false,Comment
67,Proxy,Thu Dec 29 17:49:06 PET 2022,GET,https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0,200,OK,206,77160,Medio,false,
69,Proxy,Thu Dec 29 17:49:06 PET 2022,GET,https://fonts.gstatic.com/s/mulish/v12/1Ptvg83HX_SGhgqk3wot.woff2,200,OK,783,27428,Medio,false,Comment
72,Proxy,Thu Dec 29 17:49:16 PET 2022,GET,http://localhost:45100/crearcurso,200,OK,235,2290,Medio,false,"Form,Comment"
73,Proxy,Thu Dec 29 17:49:16 PET 2022,GET,http://localhost:45100/stylesheets/style-side-bar.css,304,Not Modified,13,0,,false,
74,Proxy,Thu Dec 29 17:49:16 PET 2022,GET,http://localhost:45100/stylesheets/style-bar.css,200,OK,21,1068,Bajo,false,
75,Proxy,Thu Dec 29 17:49:16 PET 2022,GET,http://localhost:45100/stylesheets/style-create.css,200,OK,33,2475,Bajo,false,
76,Proxy,Thu Dec 29 17:49:16 PET 2022,GET,https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,200,OK,111,31000,Medio,false,Comment
77,Proxy,Thu Dec 29 17:49:16 PET 2022,GET,https://content-autofill.googleapis.com/v1/pages/ChVDaHJvbWUvMTA4LjAuNTM1OS4xMjUSLAnzwK431sSzJBIFDadjbpgSBQ1d1JmTEgUNvctyNBIFDeWPoDkSBQ0kYNx5?alt=proto,200,OK,486,64,Bajo,false,
78,Proxy,Thu Dec 29 18:00:08 PET 2022,POST,http://localhost:45100/checkcrearcurso,302,Found,39,78,,false,
79,Proxy,Thu Dec 29 18:00:08 PET 2022,GET,http://localhost:45100/vercursos?msg=ok,200,OK,587,2841,Medio,false,"Script,Comment"
